objectid,ctyua14cd,ctyua14nm,ctyua14nmw,st_areashape,st_lengthshape
1,E06000001,Hartlepool, ,93575319.61,71948.3703063377
2,E06000002,Middlesbrough, ,53888576.6945,43840.9780478829
3,E06000003,Redcar and Cleveland, ,244815704.707,97702.5569108523
4,E06000004,Stockton-on-Tees, ,204960227.672745,119661.526288486
5,E06000005,Darlington, ,197475677.87,107206.321446769
6,E06000006,Halton, ,79084021.01,77770.9908106841
7,E06000007,Warrington, ,180628001.77288,114690.633459566
8,E06000008,Blackburn with Darwen, ,137022089.532,65284.9541608235
9,E06000009,Blackpool, ,34851502.123,34940.0045480931
10,E06000010,"Kingston upon Hull, City of", ,71449812.17,64387.3198994061
11,E06000011,East Riding of Yorkshire, ,2406485864.97797,505224.951685958
12,E06000012,North East Lincolnshire, ,191863785.038825,86544.3154630973
13,E06000013,North Lincolnshire, ,846296575.80178,241106.655682942
14,E06000014,York, ,271936978.38,101957.495740924
15,E06000015,Derby, ,78031131.75,50037.569940194
16,E06000016,Leicester, ,73341895.99,51934.233153728
17,E06000017,Rutland, ,393748890.45122,125884.923875966
18,E06000018,Nottingham, ,74613555.9775,58724.0772117481
19,E06000019,"Herefordshire, County of", ,2179711858.58,349871.515311703
20,E06000020,Telford and Wrekin, ,290313552.8325,118779.528245225
21,E06000021,Stoke-on-Trent, ,93448485.645,63974.383935591
22,E06000022,Bath and North East Somerset, ,351123212.2825,141684.746882288
23,E06000023,"Bristol, City of", ,109609738.152555,109411.752501775
24,E06000024,North Somerset, ,374675897.84948,153608.902039896
25,E06000025,South Gloucestershire, ,496949221.33698,143018.16794604
26,E06000026,Plymouth, ,79837307.5525484,92450.83534877
27,E06000027,Torbay, ,62894051.7635549,78660.3091734772
28,E06000028,Bournemouth, ,46178518.655,48385.8341695121
29,E06000029,Poole, ,64751849.9275,71559.6450701883
30,E06000030,Swindon, ,230093371.9975,103014.612998607
31,E06000031,Peterborough, ,343378197.117,112678.013352718
41,E06000041,Wokingham, ,178965491.8925,86865.6290051971
42,E06000042,Milton Keynes, ,308626793.7475,102960.291874648
43,E06000043,Brighton and Hove, ,82667710.1125,60561.3208069491
44,E06000044,Portsmouth, ,40389600.3123602,59595.1043803238
45,E06000045,Southampton, ,49895079.8762299,59168.3808842466
46,E06000046,Isle of Wight, ,380161418.3849,192380.951223582
47,E06000047,County Durham, ,2231542412.10831,315237.620500349
48,E06000049,Cheshire East, ,1166357378.865,301224.60985452
49,E06000050,Cheshire West and Chester, ,916700541.774395,307826.99601717
50,E06000051,Shropshire, ,3197275387.33124,580649.567708656
51,E06000052,Cornwall, ,3549696230.55277,1196035.73484812
52,E06000053,Isles of Scilly, ,16374653.1800112,116109.745199133
53,E06000054,Wiltshire, ,3255338105.81249,402006.216479711
54,E06000055,Bedford, ,476408290.23,131721.09460411
55,E06000056,Central Bedfordshire, ,715665303.455,232692.251349768
56,E06000057,Northumberland, ,5026089615.4374,577981.24672802
57,E08000001,Bolton, ,139792045.82,82647.1523638004
58,E08000002,Bury, ,99460124.54,68541.7809000935
59,E08000003,Manchester, ,115648232.44,86851.2443567818
32,E06000032,Luton, ,43352496.6725,34569.5924648826
33,E06000033,Southend-on-Sea, ,41755608.745,43367.3386695971
34,E06000034,Thurrock, ,163493475.379,94113.5405489198
35,E06000035,Medway, ,193540400.423465,189673.222153045
